1767 16
24 2 -0.50392044
24 3 3.1670122
24 4 1.9264723
24 5 -0.88017726
24 6 0.25726295
24 7 3.4271753
24 8 -9.34105
24 9 4.2084684
24 10 -4.215516
24 11 -6.401174
24 12 4.3450565
24 13 -0.8164357
24 14 0.40242785
24 15 5.4659653
25 0 2.0506554
25 1 -0.92337406
25 2 0.7302166
25 3 -0.43706796
25 4 -0.1084021
25 5 0.7819892
25 6 -0.7942941
25 7 -4.2908893
25 8 0.32607096
25 9 1.7469913
25 10 0.16734117
25 11 -1.0420601
25 12 -1.4578063
25 13 0.3433401
25 14 -0.02654761
25 15 1.4552071
26 0 1.1942494
26 1 0.99991757
26 2 -2.7562675
26 3 -2.6419454
26 4 0.44926143
26 5 -0.33547175
26 6 0.3664056
26 7 -0.016130805
26 8 0.31910482
26 9 0.57719684
26 10 -0.6638446
26 11 -0.4445418
26 12 1.6845875
26 13 -0.3196525
26 14 0.2330026
26 15 0.36395836
27 0 1.7370069
27 1 -2.616994
27 2 -3.811921
27 3 -0.9248335
27 4 -1.144904
27 5 -3.7293422
27 6 -2.059917
27 7 -2.895414
27 8 -1.2600554
27 9 3.8841197
27 10 -0.27227324
27 11 0.65217555
27 12 2.277289
27 13 0.7483583
27 14 -3.1387432
27 15 2.6732302
28 0 -3.0591383
28 1 2.3257973
28 2 -1.9553974
28 3 -4.823337
28 4 0.6822793
28 5 -5.4967575
28 6 -1.8371589
28 7 -0.09316015
28 8 -0.29556453
28 9 0.75664306
28 10 -0.44191754
28 11 -1.2538681
28 12 1.0028336
28 13 -0.39660025
28 14 -1.0475068
28 15 1.5841334
29 0 1.224638
29 1 0.25378793
29 2 -0.6759238
29 3 -1.5070686
29 4 -0.33584642
29 5 -0.49867606
29 6 -0.11715275
29 7 -0.28574765
29 8 0.041357737
29 9 0.11238077
29 10 -0.559893
29 11 -0.40342665
29 12 -0.26449066
29 13 -0.8442535
29 14 0.54426664
29 15 0.8681065
30 0 -1.272396
30 1 -5.7289505
30 2 -3.337773
30 3 -2.1215582
30 4 1.137436
30 5 -6.9281383
30 6 -1.6905154
30 7 -0.5318407
30 8 -0.4434166
30 9 -1.2145898
30 10 -0.90242314
30 11 -1.3294381
30 12 -0.85554063
30 13 -1.9616663
30 14 -4.3000274
30 15 1.1705762
31 0 -0.39098048
31 1 -0.05269578
31 2 -1.1208892
31 3 -0.4075119
31 4 -0.5302646
31 5 -2.0697563
31 6 -0.58288455
31 7 -1.0861207
31 8 0.63475657
31 9 0.5578376
31 10 -0.023643851
31 11 -0.4902315
31 12 -0.47946697
31 13 0.10905635
31 14 -1.0597322
31 15 0.41189915
32 0 1.3446687
32 1 -6.057461
32 2 0.6394298
32 3 -0.5915865
32 4 1.9390491
32 5 -0.21024132
32 6 -3.341206
32 7 -1.0176474
32 8 0.29011917
32 9 0.5346813
32 10 0.26226294
32 11 -0.13053346
32 12 -1.276293
32 13 -0.3182513
32 14 -2.4041789
32 15 2.8364024
33 0 -0.09324443
33 1 -1.6107008
33 2 2.7978847
33 3 0.6769562
33 4 1.260553
33 5 -1.4833324
33 6 -5.016713
33 7 -0.83055997
33 8 -1.9455454
33 9 -1.4669095
33 10 -0.5588643
33 11 -8.565623
33 12 0.8822274
33 13 2.4883077
33 14 -4.778116
33 15 2.3866682
34 0 -12.351967
34 1 -7.1951957
34 2 -3.7425203
34 3 1.4441358
34 4 -3.0981102
34 5 -17.34409
34 6 -5.1814985
34 7 -2.5321453
34 8 5.2208505
34 9 -6.397852
34 10 5.321796
34 11 2.5145464
34 12 -6.1153526
34 13 -0.5717132
34 14 -11.378068
34 15 0.16287935
35 0 -3.124975
35 1 -2.2957692
35 2 0.32646334
35 3 -0.7633704
35 4 0.77634466
35 5 -3.0384111
35 6 -2.696147
35 7 -1.5097935
35 8 -1.4087759
35 9 0.5542464
35 10 -0.4908265
35 11 -1.3291283
35 12 -2.2073185
35 13 0.086495936
35 14 -0.49732262
35 15 2.4923587
36 0 1.9408549
36 1 2.1402812
36 2 0.4970181
36 3 0.49718714
36 4 -0.50200456
36 5 1.1981481
36 6 2.8910036
36 7 -0.8565677
36 8 -0.16902041
36 9 2.8846693
36 10 -1.0168409
36 11 -0.5538105
36 12 1.8290068
36 13 3.1925497
36 14 -2.5485406
36 15 0.9273039
37 0 1.290492
37 1 0.5291091
37 2 0.6901835
37 3 0.64354575
37 4 -1.4555054
37 5 -1.6484317
37 6 -2.434892
37 7 1.2689016
37 8 0.3234095
37 9 1.5395375
37 10 -1.5800165
37 11 -2.2128825
37 12 1.1889651
37 13 -0.07327387
37 14 0.46785277
37 15 3.254684
38 0 1.0075206
38 1 -1.3840016
38 2 -0.37000185
38 3 -1.2744846
38 4 0.117269814
38 5 -1.9074715
38 6 -3.0844183
38 7 0.040625155
38 8 -1.3211356
38 9 -0.94826984
38 10 -1.5655026
38 11 -0.7069084
38 12 1.070707
38 13 -1.4068756
38 14 -2.597517
38 15 1.7938905
39 0 1.1446176
39 1 0.045854628
39 2 -1.2145422
39 3 -0.6792443
39 4 -0.47962695
39 5 -0.00018298626
39 6 0.6576313
39 7 -1.0973512
39 8 0.34936008
39 9 0.7598121
39 10 -0.0146451
39 11 -0.338031
39 12 0.20067006
39 13 -0.04457271
39 14 -0.26384634
39 15 -0.16518152
40 0 1.3567529
40 1 -0.66207516
40 2 -0.97521466
40 3 0.10373479
40 4 0.18146646
40 5 -1.9526441
40 6 0.05323279
40 7 -1.0157369
40 8 0.283608
40 9 0.16064027
40 10 0.27820337
40 11 -0.88670576
40 12 -0.032004736
40 13 0.17999351
40 14 -3.0792031
40 15 1.7551687
41 0 -0.91507435
41 1 -0.44178525
41 2 -0.19553596
41 3 -2.0605278
41 4 0.21671551
41 5 -1.2527761
41 6 -0.7526455
41 7 -0.6503407
41 8 -0.024551256
41 9 -0.3051898
41 10 -0.017416775
41 11 -1.6087475
41 12 -2.2637658
41 13 -0.84424424
41 14 0.29735094
41 15 0.25086343
42 0 0.8684568
42 1 -0.9338895
42 2 -0.92404395
42 3 -1.7332062
42 4 -0.392942
42 5 -2.2242656
42 6 -1.8635964
42 7 -2.5767848
42 8 -3.2898476
42 9 -2.3029954
42 10 -2.651516
42 11 -2.1893752
42 12 0.10838863
42 13 -2.8830101
42 14 -1.0402601
42 15 1.0112277
43 0 1.3729341
43 1 2.3998368
43 2 -1.1401908
43 3 -6.273931
43 4 -0.50083447
43 5 -12.919293
43 6 -8.662778
43 7 3.5902975
43 8 0.26574364
43 9 -0.451096
43 10 -0.005377829
43 11 1.3977383
43 12 3.522644
43 13 -3.5231597
43 14 -2.0368643
43 15 2.3754158
44 0 1.3463831
44 1 0.12345666
44 2 -0.79137594
44 3 0.12575841
44 4 -0.43104273
44 5 -0.2565341
44 6 0.10730386
44 7 -0.7328242
44 8 0.46417245
44 9 0.304335
44 10 0.5168824
44 11 -0.2385506
44 12 0.2180151
44 13 0.45317823
44 14 0.21683854
44 15 0.37215507
45 0 0.11171073
45 1 1.296494
45 2 -3.2499473
45 3 0.55840886
45 4 -0.31770352
45 5 -1.836443
45 6 -0.33579588
45 7 -0.4750306
45 8 1.0548664
45 9 -0.48234946
45 10 1.1781883
45 11 -1.3326283
45 12 -0.11393124
45 13 1.4980583
45 14 -1.6228896
45 15 -0.055882573
46 0 0.82562745
46 1 1.5232248
46 2 -1.1495796
46 3 0.08188087
46 4 -2.0122008
46 5 -3.4562893
46 6 0.87210584
46 7 -0.9758916
46 8 0.59473443
46 9 0.48656383
46 10 -0.85110974
46 11 -1.7611375
46 12 0.45192614
46 13 1.0884557
46 14 -0.8345374
46 15 1.2679006
47 0 0.7312867
47 1 -0.76229155
47 2 -1.3331659
47 3 -0.79892695
47 4 -0.43584287
47 5 -1.5410161
47 6 0.3285669
47 7 -0.72122514
47 8 0.35629272
47 9 0.88290477
47 10 -0.14181879
47 11 -0.95263356
47 12 -0.20986404
47 13 -0.2010576
47 14 -0.8988148
47 15 0.67693645
48 0 -0.6897656
48 1 0.9317606
48 2 -1.677212
48 3 -1.4652063
48 4 -0.5333448
48 5 -8.627904
48 6 0.63021636
48 7 -0.5696056
48 8 1.7495269
48 9 -1.6157018
48 10 -1.3220979
48 11 -1.4816368
48 12 0.66705036
48 13 1.3438828
48 14 -4.6321926
48 15 1.3857442
49 0 1.9550235
49 1 1.2721384
49 2 0.19943506
49 3 -1.5345156
49 4 -2.2267342
49 5 -1.1064869
49 6 0.033360004
49 7 -1.0792298
49 8 1.5400862
49 9 0.40231153
49 10 0.7374766
49 11 -0.11298168
49 12 0.4622698
49 13 0.59673154
49 14 1.6188188
49 15 -0.40245545
50 0 -0.2931894
50 1 2.8320045
50 2 1.4697714
50 3 0.8378792
50 4 1.1399419
50 5 -2.525009
50 6 -6.10104
50 7 -11.00262
50 8 -3.2675076
50 9 1.0328588
50 10 0.17709953
50 11 -2.20807
50 12 -4.984163
50 13 -0.14173357
50 14 1.2495384
50 15 0.5184181
51 0 -0.43631017
51 1 0.92669743
51 2 0.5539535
51 3 -0.29681277
51 4 1.513583
51 5 -1.2838266
51 6 0.28684688
51 7 -0.3979888
51 8 -1.5730598
51 9 4.3214455
51 10 -7.9082747
51 11 -3.513636
51 12 1.034868
51 13 -3.5567265
51 14 -2.317128
51 15 4.2076817
52 0 1.2977724
52 1 0.029399782
52 2 -0.37001663
52 3 -1.383379
52 4 -0.648734
52 5 0.140643
52 6 -0.12033105
52 7 -0.7420629
52 8 -0.1406046
52 9 -0.36383474
52 10 0.36397642
52 11 -0.12430549
52 12 0.11630151
52 13 -0.58864534
52 14 0.47309667
52 15 0.10604763
53 0 -0.59704936
53 1 -0.73051286
53 2 -0.55230236
53 3 -0.8530304
53 4 -1.2833261
53 5 -1.981416
53 6 0.111029744
53 7 -1.0993929
53 8 1.4606454
53 9 -0.8214809
53 10 0.6757963
53 11 -0.113437295
53 12 -1.216201
53 13 0.6636417
53 14 -1.4355031
53 15 0.39869332
54 0 0.5452175
54 1 -3.3732228
54 2 0.79617584
54 3 -2.3216944
54 4 0.5882454
54 5 0.22436297
54 6 0.39577615
54 7 0.91460866
54 8 -0.002223522
54 9 -0.6419114
54 10 -0.29470867
54 11 -1.5801904
54 12 -0.768381
54 13 -0.77777314
54 14 -0.4480821
54 15 3.162169
55 0 0.9639071
55 1 -1.2850187
55 2 1.341681
55 3 -0.24923307
55 4 1.2795486
55 5 -0.7452818
55 6 1.1503023
55 7 -1.2201262
55 8 0.6344216
55 9 0.57850325
55 10 0.5292195
55 11 -0.004842043
55 12 -1.0817131
55 13 1.2838087
55 14 -0.6749081
55 15 2.7228656
56 0 2.4826407
56 1 -2.442337
56 2 0.18259019
56 3 -2.0752368
56 4 -0.46420026
56 5 2.0405707
56 6 0.9015881
56 7 0.8845344
56 8 -8.502526
56 9 -2.2521887
56 10 -4.388177
56 11 -0.30952817
56 12 1.9182247
56 13 -5.256895
56 14 -2.7806752
56 15 2.2532332
57 0 2.2214065
57 1 -0.48063326
57 2 -0.09718299
57 3 -1.8348542
57 4 0.34525228
57 5 1.0644573
57 6 0.57598996
57 7 -1.4404681
57 8 0.88637966
57 9 -0.75123596
57 10 0.6102483
57 11 -0.3985141
57 12 0.3266738
57 13 0.43595397
57 14 0.5313502
57 15 0.15268219
58 0 2.2131603
58 1 -4.345758
58 2 0.019883692
58 3 1.877576
58 4 -0.34434044
58 5 -2.1732883
58 6 0.9176687
58 7 0.9737385
58 8 4.948668
58 9 -2.6626894
58 10 3.5574808
58 11 1.3336924
58 12 -2.1783624
58 13 2.3949506
58 14 -0.80492836
58 15 2.9977648
59 0 1.0110309
59 1 -1.1367316
59 2 -0.52590346
59 3 -0.4149634
59 4 -2.4557776
59 5 -1.1343906
59 6 -0.07959032
59 7 -0.44953543
59 8 0.6016584
59 9 -0.6953851
59 10 -0.805066
59 11 -0.82017875
59 12 -0.18578942
59 13 -0.092549026
59 14 0.0708794
59 15 0.07434571
60 0 0.35569087
60 1 0.94534117
60 2 -0.693908
60 3 1.2340406
60 4 -1.089705
60 5 -2.9950836
60 6 -1.15224
60 7 -2.0492256
60 8 1.2022645
60 9 0.81111693
60 10 0.2738312
60 11 -1.1703433
60 12 -1.0935438
60 13 2.0424814
60 14 -0.47190595
60 15 1.5370772
61 0 1.4107215
61 1 0.5690509
61 2 -1.5153751
61 3 0.26769578
61 4 -0.5423653
61 5 0.551309
61 6 -1.1106926
61 7 -0.40730995
61 8 0.76074094
61 9 -0.5285268
61 10 1.3701375
61 11 0.6619308
61 12 0.11697045
61 13 -0.34484896
61 14 -2.2981384
61 15 0.6547294
62 0 1.4795647
62 1 0.056936264
62 2 -0.06713194
62 3 -2.175222
62 4 -0.4751128
62 5 1.4058331
62 6 0.3957516
62 7 -0.7380976
62 8 0.6240283
62 9 -0.7595066
62 10 -0.30800948
62 11 -0.34453
62 12 0.22333965
62 13 -0.3173845
62 14 0.7728978
62 15 -0.0013834238
63 0 1.2308133
63 1 -10.780897
63 2 0.38659644
63 3 1.3036152
63 4 3.3526359
63 5 2.4829278
63 6 0.2901106
63 7 -4.258702
63 8 1.3582207
63 9 0.050934136
63 10 1.8577658
63 11 1.368863
63 12 -5.8579297
63 13 -0.46553564
63 14 -2.5209343
63 15 1.0082178
64 0 2.3093927
64 1 4.6056013
64 2 -1.9579134
64 3 1.428559
64 4 2.071012
64 5 4.2995276
64 6 0.0051186085
64 7 -3.504126
64 8 -0.009866654
64 9 3.0064082
64 10 3.0026383
64 11 2.2165585
64 12 0.32619098
64 13 5.3467455
64 14 -2.199343
64 15 5.4822893
65 0 2.2493975
65 1 -1.6324747
65 2 -0.38180035
65 3 -1.2887087
65 4 -0.27887562
65 5 -2.936463
65 6 -1.4098831
65 7 -1.3298907
65 8 0.5581691
65 9 -0.10349291
65 10 -1.3133428
65 11 -1.459298
65 12 1.2363758
65 13 -0.003021717
65 14 -3.1375022
65 15 0.8387851
66 0 1.3437762
66 1 0.6913155
66 2 -1.4305696
66 3 -0.45678908
66 4 -0.24749278
66 5 0.95111096
66 6 0.072754025
66 7 0.3153774
66 8 -0.77367693
66 9 -0.24563456
66 10 -0.2894957
66 11 -0.035863996
66 12 0.3005253
66 13 -1.1843607
66 14 0.24345201
66 15 0.84345007
67 0 0.38885862
67 1 -0.091334105
67 2 -0.30508322
67 3 -2.08431
67 4 -0.76617444
67 5 -1.7071067
67 6 0.43199217
67 7 0.2644853
67 8 0.9134389
67 9 0.07253897
67 10 0.9653919
67 11 -0.6555745
67 12 0.5125433
67 13 0.6385635
67 14 0.9348386
67 15 0.694779
68 0 1.5534353
68 1 -2.6602728
68 2 -3.9620113
68 3 -8.182005
68 4 1.2555792
68 5 -4.0148344
68 6 -1.7408786
68 7 -3.263105
68 8 -0.37786126
68 9 -5.2087893
68 10 -0.16345215
68 11 -1.1068968
68 12 0.10993239
68 13 -1.9574919
68 14 0.039753377
68 15 1.9828231
69 0 0.0413481
69 1 -0.30975243
69 2 0.76673675
69 3 -3.264153
69 4 -0.13399445
69 5 -1.6021805
69 6 -2.6261516
69 7 -4.011572
69 8 0.11654724
69 9 -0.2543863
69 10 -0.7435096
69 11 -3.2930107
69 12 -2.1510668
69 13 -0.21307859
69 14 -0.0038062334
69 15 1.2731005
70 0 -3.434614
70 1 -0.5253986
70 2 -0.64102316
70 3 -8.403824
70 4 -6.397637
70 5 -16.654823
70 6 -0.009795129
70 7 2.6870475
70 8 1.2535708
70 9 -2.2101045
70 10 0.0062031746
70 11 -2.7117
70 12 2.877857
70 13 1.0986376
70 14 0.56592077
70 15 1.8982382
71 0 0.7600456
71 1 -1.354104
71 2 -0.3143599
71 3 -2.771591
71 4 0.71918386
71 5 0.52174795
71 6 -0.31557906
71 7 -0.2031576
71 8 1.0653462
71 9 -1.0679852
71 10 0.71847415
71 11 -1.157247
71 12 -0.31036282
71 13 0.03990665
71 14 0.2816146
71 15 1.3298317
72 0 2.5606894
72 1 -1.9676025
72 2 -2.206788
72 3 -0.8340445
72 4 -0.9849147
72 5 -0.3505956
72 6 -2.0409956
72 7 -2.4431496
72 8 -2.453471
72 9 -2.6671014
72 10 -1.9608737
72 11 -4.330088
72 12 1.3079638
72 13 -0.40491134
72 14 -2.845454
72 15 -1.7383318
73 0 -5.6944647
73 1 -0.9038825
73 2 2.9525468
73 3 -9.064419
73 4 2.7719722
73 5 -0.0037101507
73 6 0.73487127
73 7 -11.1714115
73 8 0.0017732457
73 9 4.945269
73 10 -7.5941367
73 11 -4.023114
73 12 -6.8185
73 13 -6.53805
73 14 -3.6667328
73 15 3.479573
74 0 3.8571243
74 1 5.530754
74 2 -4.768259
74 3 2.1947565
74 4 -5.327018
74 5 -1.2200019
74 6 0.18918562
74 7 -1.7248229
74 8 1.6264541
74 9 -0.38214803
74 10 -0.34795994
74 11 -0.6763505
74 12 3.2191467
74 13 2.5537686
74 14 -3.50308
74 15 -3.0016897
75 0 3.6756575
75 1 2.2392743
75 2 -2.1712356
75 3 2.0084066
75 4 -1.118967
75 5 -1.3807342
75 6 1.2706171
75 7 -2.331953
75 8 0.3844604
75 9 1.0724825
75 10 -0.5975227
75 11 -0.22467458
75 12 2.302535
75 13 1.6926749
75 14 -3.0756867
75 15 -0.5185714
76 0 1.827939
76 1 -2.5584123
76 2 0.93411815
76 3 -1.2899063
76 4 1.3657187
76 5 -1.7715636
76 6 0.17242527
76 7 0.21847087
76 8 1.7100301
76 9 0.9020952
76 10 0.41344416
76 11 -1.2946607
76 12 -0.0032663494
76 13 0.8219051
76 14 0.42848605
76 15 3.4394243
77 0 2.1240067
77 1 -0.8493436
77 2 0.4694159
77 3 -0.14870149
77 4 0.21821943
77 5 -0.15283847
77 6 0.9583771
77 7 -0.6686784
77 8 0.17679192
77 9 1.428203
77 10 0.07691258
77 11 -1.4957566
77 12 0.36931857
77 13 0.7887724
77 14 0.028353512
77 15 1.5558814
78 0 -10.579988
78 1 -1.5304489
78 2 2.047912
78 3 -0.00043559074
78 4 1.7041284
78 5 -10.117005
78 6 -7.365362
78 7 -0.7185675
78 8 2.137917
78 9 0.9766414
78 10 1.653845
78 11 -0.22479957
78 12 -4.8555436
78 13 0.84593326
78 14 -0.9991042
78 15 3.720787
79 0 1.4821756
79 1 1.1611447
79 2 -1.1671306
79 3 -0.47680488
79 4 -0.041618943
79 5 -1.9825753
79 6 -2.269847
79 7 -0.10402441
79 8 -2.4960124
79 9 -0.025043175
79 10 -1.9381435
79 11 -0.69592595
79 12 1.3014213
79 13 0.35836476
79 14 -1.348845
79 15 2.3849907
80 0 1.7427089
80 1 -1.0561409
80 2 -1.0525962
80 3 -3.2999144
80 4 -0.53019404
80 5 -2.6790085
80 6 -3.128553
80 7 -0.80330944
80 8 -0.58324987
80 9 -1.1631767
80 10 -0.8207257
80 11 0.9561372
80 12 1.7910849
80 13 -1.5165851
80 14 -2.6143606
80 15 1.1272563
81 0 1.2654862
81 1 -1.857768
81 2 -1.5620522
81 3 -0.4538683
81 4 -0.03403391
81 5 -3.1011362
81 6 -2.8721938
81 7 -0.5357861
81 8 -1.4051443
81 9 -0.05768603
81 10 -1.9403863
81 11 -0.4167505
81 12 1.5883471
81 13 -0.32302532
81 14 -3.937771
81 15 1.4052007
82 0 -0.4860382
82 1 -0.24812989
82 2 -1.1756266
82 3 -1.5481167
82 4 1.3306724
82 5 -3.4069614
82 6 0.24813807
82 7 -2.8246782
82 8 0.020832444
82 9 0.12089929
82 10 -2.0940018
82 11 -2.3564553
82 12 -0.36361507
82 13 -0.97159994
82 14 -4.2881517
82 15 1.2549651
83 0 0.44324738
83 1 -0.82628393
83 2 -1.7682316
83 3 -1.5264882
83 4 -0.53381675
83 5 -3.4615555
83 6 -0.45731074
83 7 -0.5039675
83 8 -0.25924224
83 9 0.7171786
83 10 -0.099953145
